"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.05.2017 17:00";"34.0";"749.2";"754.9";"-4.0";"28";"从西南偏南方向吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"1000-1500";"";"";"16.0";"12.9";"";"";"";"";"";"";
"20.05.2017 14:00";"34.2";"753.2";"756.0";"1.1";"29";"从南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"20.7";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"13.0";"13.6";"";"";"";"";"";"";
"20.05.2017 11:00";"30.9";"752.1";"757.9";"-3.3";"44";"从西南偏南方向吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"6.0";"17.2";"";"";"";"";"";"";
"20.05.2017 08:00";"25.3";"755.4";"758.2";"4.1";"61";"从西南方吹来的风";"2";"";"";"40%.";"霾 ";"";"";"";"";"";"40%.";"2500或更高，或无云。";"";"";"";"17.2";"";"";"";"";"";"";
"20.05.2017 05:00";"21.0";"751.3";"757.3";"-2.9";"72";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"8.0";"15.8";"";"";"";"";"";"";
"20.05.2017 02:00";"24.1";"754.2";"757.0";"3.8";"53";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"36.8";"";"";"2500或更高，或无云。";"";"";"12.0";"13.9";"";"";"";"";"";"";
"19.05.2017 23:00";"27.0";"750.4";"756.2";"-1.8";"40";"从西南方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"16.0";"12.3";"";"";"";"";"";"";
"19.05.2017 20:00";"30.5";"752.2";"754.9";"4.5";"35";"从西南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"16.0";"13.3";"";"";"";"";"";"";
"19.05.2017 17:00";"35.4";"747.7";"753.4";"-3.6";"25";"从西南偏南方向吹来的风";"6";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"14.0";"12.4";"";"";"";"";"";"";
"19.05.2017 14:00";"35.4";"751.3";"754.0";"1.5";"31";"从西南偏西方向吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"22.6";"";"";"90  或者更多，但不为100%";"";"";"";"7.0";"15.7";"";"";"";"";"";"";
"19.05.2017 11:00";"31.4";"749.8";"755.5";"-3.3";"51";"从南方吹来的风";"1";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"";"";"";"4.9";"20.0";"";"";"";"";"";"";
"19.05.2017 08:00";"26.4";"753.1";"755.8";"4.2";"65";"从西南方吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"4.5";"19.3";"";"";"";"";"";"";
"19.05.2017 05:00";"22.8";"748.9";"754.8";"-2.7";"78";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"4.8";"18.8";"";"";"";"";"";"";
"19.05.2017 02:00";"25.0";"751.6";"754.3";"2.5";"67";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"34.7";"";"";"";"";"";"7.0";"18.4";"";"";"";"";"";"";
"18.05.2017 23:00";"27.8";"749.1";"754.9";"-2.2";"53";"从西南方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"11.0";"17.3";"";"";"";"";"";"";
"18.05.2017 20:00";"30.5";"751.3";"754.1";"3.6";"46";"从西南方吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"9.0";"17.6";"";"";"";"";"";"";
"18.05.2017 17:00";"34.0";"747.7";"753.4";"-3.6";"34";"从西南偏南方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"12.0";"15.9";"";"";"";"";"";"";
"18.05.2017 14:00";"33.6";"751.3";"754.1";"1.6";"35";"从西南偏南方向吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"19.7";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"11.0";"16.0";"";"";"";"";"";"";
"18.05.2017 11:00";"30.7";"749.7";"755.5";"-3.7";"44";"从西南偏西方向吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"5.0";"17.1";"";"";"";"";"";"";
"18.05.2017 08:00";"25.3";"753.4";"756.1";"4.0";"56";"从东北偏北方向吹来的风";"1";"";"";"无云";"霾 ";"";"";"";"";"";"";"";"";"";"4.5";"15.9";"";"";"";"";"";"";
"18.05.2017 05:00";"19.8";"749.4";"755.4";"-2.8";"73";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"18.05.2017 02:00";"21.3";"752.2";"755.0";"3.1";"68";"从西北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"32.1";"";"";"";"";"";"9.0";"15.2";"";"";"";"";"";"";
"17.05.2017 23:00";"26.0";"749.1";"754.9";"-1.9";"48";"从东南偏南方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"12.0";"14.1";"";"";"";"";"";"";
"17.05.2017 20:00";"28.5";"751.0";"753.8";"3.9";"43";"从西南偏西方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"14.0";"14.7";"";"";"";"";"";"";
"17.05.2017 17:00";"31.8";"747.1";"752.8";"-3.3";"31";"从西南偏南方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"18.0";"12.6";"";"";"";"";"";"";
"17.05.2017 14:00";"30.6";"750.4";"753.2";"1.9";"33";"从西南偏南方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"17.6";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"13.0";"12.5";"";"";"";"";"";"";
"17.05.2017 11:00";"27.1";"748.5";"754.3";"-3.0";"45";"从东北偏东方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"9.0";"14.2";"";"";"";"";"";"";
"17.05.2017 08:00";"23.3";"751.5";"754.3";"4.7";"57";"从东南偏东方向吹来的风";"1";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"9.0";"14.3";"";"";"";"";"";"";
"17.05.2017 05:00";"17.7";"746.8";"752.8";"-2.4";"75";"无风";"0";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"11.0";"13.2";"";"";"";"";"";"";
"17.05.2017 02:00";"21.6";"749.2";"751.9";"3.1";"59";"从西南偏南方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"31.1";"";"";"";"";"";"16.0";"13.3";"";"";"";"";"";"";
"16.05.2017 23:00";"23.9";"746.1";"752.0";"-2.8";"42";"从南方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"20.0";"10.2";"";"";"";"";"";"";
"16.05.2017 20:00";"27.1";"748.9";"751.7";"2.7";"31";"从西南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"22.0";"8.5";"";"";"";"";"";"";
"16.05.2017 17:00";"30.2";"746.2";"751.9";"-4.8";"26";"从西南方吹来的风";"6";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"20.0";"8.6";"";"";"";"";"";"";
"16.05.2017 14:00";"30.0";"751.0";"753.7";"0.7";"26";"从南方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"16.3";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"18.0";"8.4";"";"";"";"";"";"";
"16.05.2017 11:00";"26.5";"750.3";"756.1";"-4.0";"32";"从南方吹来的风";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"12.0";"8.5";"";"";"";"";"";"";
"16.05.2017 08:00";"20.4";"754.3";"757.2";"3.2";"45";"从北方吹来的风";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"13.0";"8.1";"";"";"";"";"";"";
"16.05.2017 05:00";"16.4";"751.1";"757.1";"-4.1";"50";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"17.0";"6.0";"";"";"";"";"";"";
"16.05.2017 02:00";"18.1";"755.2";"758.0";"2.2";"41";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"27.9";"";"";"2500或更高，或无云。";"";"";"19.0";"4.7";"";"";"";"";"";"";
"15.05.2017 23:00";"20.8";"753.0";"759.0";"-2.8";"32";"从西南方吹来的风";"2";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"28.0";"3.5";"";"";"";"";"";"";
"15.05.2017 20:00";"24.1";"755.8";"758.7";"3.4";"27";"从西南方吹来的风";"2";"";"";"40%.";" ";"";"";"";"";"";"40%.";"2500或更高，或无云。";"";"";"30.0";"4.0";"";"";"";"";"";"";
"15.05.2017 17:00";"27.6";"752.4";"758.2";"-4.6";"20";"从西南方吹来的风";"4";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"30.0";"2.6";"";"";"";"";"";"";
"15.05.2017 14:00";"26.7";"757.0";"759.9";"0.6";"19";"从东北偏东方向吹来的风";"2";"";"";"60%.";" ";"";"";"15.7";"";"";"60%.";"2500或更高，或无云。";"";"";"29.0";"1.2";"";"";"";"";"";"";
"15.05.2017 11:00";"24.1";"756.4";"762.3";"-3.6";"26";"从南方吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"24.0";"3.4";"";"";"";"";"";"";
"15.05.2017 08:00";"19.3";"760.0";"762.9";"4.3";"40";"从东方吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"7.0";"5.4";"";"";"";"";"";"";
"15.05.2017 05:00";"17.3";"755.7";"761.8";"-2.5";"33";"从东方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2000-2500";"";"";"30.0";"0.9";"";"";"";"";"";"";
"15.05.2017 02:00";"16.8";"758.2";"761.0";"3.6";"33";"从东北偏北方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"27.9";"";"";"2500或更高，或无云。";"";"";"30.0";"0.5";"";"";"";"";"";"";
"14.05.2017 23:00";"22.0";"754.6";"760.6";"-2.1";"35";"从东北偏北方向吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"24.0";"5.9";"";"";"";"";"";"";
"14.05.2017 20:00";"24.1";"756.7";"759.5";"4.3";"32";"从西南偏西方向吹来的风";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"27.0";"6.4";"";"";"";"";"";"";
"14.05.2017 17:00";"27.1";"752.4";"758.2";"-3.8";"24";"从南方吹来的风";"2";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"30.0";"4.8";"";"";"";"";"";"";
"14.05.2017 14:00";"27.0";"756.2";"759.0";"0.5";"22";"从南方吹来的风";"2";"";"";"40%.";" ";"";"";"17.4";"";"";"40%.";"2500或更高，或无云。";"";"";"30.0";"3.5";"";"";"";"";"";"";
"14.05.2017 11:00";"24.3";"755.7";"761.6";"-4.0";"24";"从东北偏北方向吹来的风";"2";"";"";"40%.";" ";"";"";"";"";"";"40%.";"";"";"";"30.0";"2.5";"";"";"";"";"";"";
"14.05.2017 08:00";"21.0";"759.7";"762.5";"4.4";"29";"从东北方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"";"";"";"30.0";"2.3";"";"";"";"";"";"";
"14.05.2017 05:00";"17.7";"755.3";"761.4";"-1.7";"41";"从东北偏东方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"29.0";"4.3";"";"";"";"";"";"";
"14.05.2017 02:00";"21.8";"757.0";"759.9";"5.1";"26";"从东北方吹来的风";"4";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"28.1";"";"";"2500或更高，或无云。";"";"";"30.0";"1.5";"";"";"";"";"";"";
"13.05.2017 23:00";"19.4";"751.9";"757.9";"-1.9";"35";"从西南方吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"17.0";"3.6";"";"";"";"";"";"";
"13.05.2017 20:00";"23.9";"753.8";"756.7";"4.1";"23";"从西南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"1500-2000";"";"";"30.0";"1.5";"";"";"";"";"";"";
"13.05.2017 17:00";"27.9";"749.7";"755.5";"-3.6";"17";"从西方吹来的风";"5";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"";"";"";"30.0";"0.6";"";"";"";"";"";"";
"13.05.2017 14:00";"25.8";"753.3";"756.1";"1.8";"18";"从西北方吹来的风";"4";"";"";"10%  或者更少，但不为0";" ";"";"";"14.3";"";"";"10%  或者更少，但不为0";"";"";"";"30.0";"-0.3";"";"";"";"";"";"";
"13.05.2017 11:00";"21.1";"751.5";"757.5";"-2.9";"22";"从西北偏北方向吹来的风";"5";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"30.0";"-1.4";"";"";"";"";"";"";
"13.05.2017 08:00";"17.9";"754.4";"757.3";"6.1";"26";"从东北偏北方向吹来的风";"7";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"17.0";"-1.9";"";"";"";"";"";"";
"13.05.2017 05:00";"19.7";"748.3";"754.3";"-0.9";"12";"从北方吹来的风";"4";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"9.0";"-10.5";"";"";"";"";"";"";
"13.05.2017 02:00";"19.2";"749.2";"751.9";"4.0";"18";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"29.1";"";"";"";"";"";"15.0";"-5.7";"";"";"";"";"";"";
"12.05.2017 23:00";"22.2";"745.2";"751.1";"-1.4";"16";"从东北偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"30.0";"-4.8";"";"";"";"";"";"";
"12.05.2017 20:00";"26.3";"746.6";"749.4";"4.0";"27";"从东北偏北方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"1500-2000";"";"";"12.0";"5.8";"";"";"";"";"";"";
"12.05.2017 17:00";"28.0";"742.6";"748.3";"-5.1";"21";"从西南偏西方向吹来的风";"6";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"1500-2000";"";"";"14.0";"3.7";"";"";"";"";"";"";
"12.05.2017 14:00";"27.7";"747.7";"750.5";"-0.7";"16";"从西南偏西方向吹来的风";"6";"";"";"无云";" ";"";"";"13.4";"";"";"";"";"";"";"12.0";"-0.4";"";"";"";"";"";"";
"12.05.2017 11:00";"24.3";"748.4";"754.3";"-5.3";"15";"从西南偏西方向吹来的风";"6";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"9.0";"-4.0";"";"";"";"";"";"";
"12.05.2017 08:00";"20.3";"753.7";"756.5";"2.3";"14";"从西南偏西方向吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"14.0";"-8.1";"";"";"";"";"";"";
"12.05.2017 05:00";"14.7";"751.4";"757.5";"-3.0";"17";"从西方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"13.0";"-10.1";"";"";"";"";"";"";
"12.05.2017 02:00";"16.2";"754.4";"757.3";"1.6";"13";"从东北偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"30.1";"";"";"2500或更高，或无云。";"";"";"14.0";"-12.2";"";"";"";"";"";"";
"11.05.2017 23:00";"19.5";"752.8";"758.8";"-1.5";"7";"从东北方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"15.0";"-17.2";"";"";"";"";"";"";
"11.05.2017 20:00";"24.1";"754.3";"757.0";"5.6";"6";"从西北偏北方向吹来的风";"5";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"19.0";"-15.7";"";"";"";"";"";"";
"11.05.2017 17:00";"28.0";"748.7";"754.5";"-2.6";"8";"从北方吹来的风";"6";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"16.0";"-9.3";"";"";"";"";"";"";
"11.05.2017 14:00";"29.5";"751.3";"754.1";"2.4";"12";"从西北偏北方向吹来的风";"7";"";"";"90  或者更多，但不为100%";" ";"";"";"13.0";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"9.0";"-2.9";"";"";"";"";"";"";
"11.05.2017 11:00";"28.0";"748.9";"754.7";"-2.1";"14";"从北方吹来的风";"5";"";"";"90  或者更多，但不为100%";"观测时由测站或测站附近的风吹起的尘或沙，但没有发展完好的尘卷或沙卷，也看不见尘暴或沙暴；或者，在有观测船或岸上测站通知的情况下，飞沫被风吹到测站 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"8.0";"-2.0";"";"";"";"";"";"";
"11.05.2017 08:00";"23.2";"751.0";"753.8";"3.5";"36";"从北方吹来的风";"1";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"14.0";"7.3";"";"";"";"";"";"";
"11.05.2017 05:00";"13.3";"747.5";"753.6";"-3.5";"72";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"11.05.2017 02:00";"16.3";"751.0";"753.8";"2.5";"59";"无风";"0";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"31.6";"";"";"";"";"";"14.0";"8.3";"";"";"";"";"";"";
"10.05.2017 23:00";"21.3";"748.5";"754.4";"-2.4";"44";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"14.0";"8.6";"";"";"";"";"";"";
"10.05.2017 20:00";"26.2";"750.9";"753.7";"4.0";"32";"从西南方吹来的风";"3";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"";"";"";"16.0";"8.2";"";"";"";"";"";"";
"10.05.2017 17:00";"30.1";"746.9";"752.6";"-3.4";"23";"从西南偏西方向吹来的风";"4";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"";"";"";"24.0";"6.7";"";"";"";"";"";"";
"10.05.2017 14:00";"30.6";"750.3";"753.1";"1.1";"13";"从西北偏西方向吹来的风";"4";"";"";"20–30%.";" ";"";"";"15.0";"";"";"20–30%.";"";"";"";"30.0";"-0.9";"";"";"";"";"";"";
"10.05.2017 11:00";"27.2";"749.2";"755.0";"-3.7";"24";"从东北偏北方向吹来的风";"3";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"";"";"";"20.0";"4.9";"";"";"";"";"";"";
"10.05.2017 08:00";"19.1";"752.9";"755.8";"3.8";"63";"从东北方吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"6.0";"11.9";"";"";"";"";"";"";
"10.05.2017 05:00";"15.0";"749.1";"755.2";"-3.1";"78";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"7.0";"11.2";"";"";"";"";"";"";
"10.05.2017 02:00";"16.4";"752.2";"755.1";"1.8";"73";"从东方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"28.3";"";"";"2500或更高，或无云。";"";"";"10.0";"11.6";"";"";"";"";"";"";
"09.05.2017 23:00";"18.4";"750.4";"756.4";"-1.5";"64";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"16.0";"11.5";"";"";"";"";"";"";
"09.05.2017 20:00";"22.9";"751.9";"754.7";"4.3";"46";"从东南偏南方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"17.0";"10.7";"";"";"";"";"";"";
"09.05.2017 17:00";"27.6";"747.6";"753.4";"-4.4";"28";"从西南偏西方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"";"";"";"20.0";"7.5";"";"";"";"";"";"";
"09.05.2017 14:00";"27.3";"752.0";"754.8";"0.9";"27";"从西南偏南方向吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"16.6";"";"";"90  或者更多，但不为100%";"";"";"";"17.0";"6.7";"";"";"";"";"";"";
